x,y,id,ig_date,last_date
2225986.0,4726021.5,764037,2007-06-24 00:00:00,2007-06-24 00:00:00
2230155.8,4725095.0,764038,2016-08-04 00:00:00,2016-08-08 00:00:00
2230155.8,4726021.5,764039,2018-08-21 00:00:00,2018-08-21 00:00:00
2236179.0,4726021.5,764040,2002-07-03 00:00:00,2002-07-03 00:00:00
2225986.0,4725558.0,764041,2001-07-04 00:00:00,2001-07-04 00:00:00
2225986.0,4725558.0,764042,2007-06-18 00:00:00,2007-06-18 00:00:00
2229692.5,4725558.0,764043,2010-08-11 00:00:00,2010-08-11 00:00:00
2230155.8,4725558.0,764044,2015-08-18 00:00:00,2015-08-18 00:00:00
2232472.5,4725558.0,764045,2001-07-19 00:00:00,2001-07-19 00:00:00
2234789.0,4725558.0,764046,2016-08-30 00:00:00,2016-08-30 00:00:00
2224596.0,4724631.5,764048,2006-08-01 00:00:00,2006-08-01 00:00:00
2226912.8,4725095.0,764049,2001-07-11 00:00:00,2001-07-11 00:00:00
2228302.5,4725095.0,764050,2006-08-10 00:00:00,2006-08-13 00:00:00
2228766.0,4725095.0,764051,2001-07-15 00:00:00,2001-07-16 00:00:00
2230155.8,4725095.0,764052,2012-08-03 00:00:00,2012-08-06 00:00:00
2231082.5,4725095.0,764053,2008-08-20 00:00:00,2008-08-20 00:00:00
2225522.8,4724631.5,764055,2001-07-03 00:00:00,2001-07-03 00:00:00
2229229.2,4723705.0,764056,2001-07-05 00:00:00,2001-07-08 00:00:00
2231082.5,4723241.5,764057,2004-06-04 00:00:00,2004-06-11 00:00:00
2228766.0,4724631.5,764058,2007-06-06 00:00:00,2007-06-06 00:00:00
2230619.2,4724168.5,764059,2016-06-10 00:00:00,2016-06-17 00:00:00
2233862.2,4724631.5,764060,2001-07-11 00:00:00,2001-07-11 00:00:00
2236179.0,4724631.5,764061,2001-08-12 00:00:00,2001-08-12 00:00:00
2236179.0,4724631.5,764062,2006-08-19 00:00:00,2006-08-19 00:00:00
2236179.0,4724631.5,764063,2008-08-07 00:00:00,2008-08-07 00:00:00
2226912.8,4722315.0,764064,2001-07-04 00:00:00,2001-07-10 00:00:00
2229692.5,4724168.5,764065,2018-09-23 00:00:00,2018-09-23 00:00:00
2231082.5,4724168.5,764066,2001-07-05 00:00:00,2001-07-05 00:00:00
2232009.0,4724168.5,764067,2016-08-30 00:00:00,2016-08-30 00:00:00
2232472.5,4723241.5,764068,2008-08-07 00:00:00,2008-08-13 00:00:00
2232472.5,4724168.5,764069,2018-08-17 00:00:00,2018-08-17 00:00:00
2234325.8,4724168.5,764070,2017-08-09 00:00:00,2017-08-09 00:00:00
2234789.0,4724168.5,764071,2001-08-10 00:00:00,2001-08-10 00:00:00
2227839.2,4723241.5,764074,2016-06-07 00:00:00,2016-06-10 00:00:00
2228302.5,4723705.0,764075,2004-07-15 00:00:00,2004-07-15 00:00:00
2228766.0,4723705.0,764076,2011-08-17 00:00:00,2011-08-17 00:00:00
2230155.8,4723241.5,764077,2001-08-02 00:00:00,2001-08-02 00:00:00
2229692.5,4723705.0,764078,2012-07-29 00:00:00,2012-07-29 00:00:00
